Код_товара;Идентификатор_товара;Наличие;Цена;Валюта;Ключевые_слова;Единица_измерения;Название_позиции;Производитель;Ссылка_изображения;Страна_производитель;Тип_товара;Описание;Адрес_подраздела;Атрибут_Вес(кг);Атрибут_Вид нагревательного кабеля;Атрибут_Вид основного сырья;Атрибут_Виды индикации;Атрибут_Время зарядки (час);Атрибут_Гарантийный срок(мес.);Атрибут_Год выпуска;Атрибут_Дистанция пробега (км);Атрибут_Допустимая пиковая мощность (Вт);Атрибут_Защита от короткого замыкания;Атрибут_Защита от перегрева;Атрибут_Защита от перегрузок;Атрибут_Защита от переполюсовки;Атрибут_Защита от разряда аккумуляторной батареи;Атрибут_Класс материала по теплопроводности;Атрибут_Количество жил;Атрибут_Количество колес (шт.);Атрибут_Количество скоростей (шт.);Атрибут_Количество теплообменников (шт.);Атрибут_Конструктивное исполнение бака;Атрибут_Коэффициент преобразования;Атрибут_КПД,не менее (%);Атрибут_Максимальная мощность (Вт/м);Атрибут_Максимальная скорость (км/ч);Атрибут_Максимальная температура в баке (град.);Атрибут_Максимальная температура теплоносителя в;Атрибут_Максимальное давление в баке (бар);Атрибут_Максимальное давление теплообменника (ба;Атрибут_Максимальное рабочее давление (бар);Атрибут_Максимальный напор (м);Атрибут_Марка;Атрибут_Материал бака-аккумулятора;Атрибут_Материал изоляции;Атрибут_Материал корпуса;Атрибут_Материал рабочего колеса;Атрибут_Материал теплообменника;Атрибут_Минимальная рабочая температура (град.);Атрибут_Минимальный радиус изгиба (мм);Атрибут_Модель;Атрибут_Мощность электродвигателя (Вт);Атрибут_Напряжение сети;Атрибут_Номинальная мощность (Вт);Атрибут_Номинальное входное напряжение;Атрибут_Номинальное выходное напряжение;Атрибут_Номинальный ток (А);Атрибут_Область применения нагревательного кабел;Атрибут_Общая мощность теплообменника (кВт);Атрибут_Общая площадь поверхности теплообменника;Атрибут_Объем бака (л);Атрибут_Объем расширительного бака (л);Атрибут_Перекачиваемые среды;Атрибут_Переключение скоростей;Атрибут_Плавный пуск двигателя;Атрибут_Расположение бака;Атрибут_Рекомендуемая предельная скорость (км/ч);Атрибут_С заменяемой мембраной;Атрибут_Способ установки;Атрибут_Степень защиты IP;Атрибут_Теплопроводность (Вт/мК);Атрибут_Тип затвора;Атрибут_Тип коллектора;Атрибут_Тип материала;Атрибут_Тип присоединения;Атрибут_Тип ротора;Атрибут_Ток холостого хода (А);Атрибут_Установка насоса;Атрибут_Форма выходного напряжения;Атрибут_Форма поставки материала;Атрибут_Частота (Гц);Атрибут_Частота тока (Гц);Атрибут_Экологическая безопасность материала;Атрибут_Экранированный кабель;Возможность_поставки;Идентификатор_группы;Идентификатор_подраздела;Минимальный_заказ_опт;Минимальный_объем_заказа;Номер_группы;Скидка;Способ_упаковки;Срок_поставки;Уникальный_идентификатор;
"Vacuum GVS Kit 750";"Vacuum GVS Kit 750";"+";"6173,51";"USD";"гелиосистема";"шт";"Гелиотермальная система ГВС на вакуумных коллекторах 800 л горячей воды в сутки на 16 человек";"Atmosfera";"http://atmosfera.ua/images/forshops/atmosfera-vacuum4.jpg";"Украина";"r";"<p>Комплект оборудования для системы солнечного горячего водоснабжения (гелиосистемы). Производительность - 800 литров горячей воды в сутки - вполне достаточно для горячего водообеспечения 16 человек. Гелиосистема идеально подойдет для небольшой гостиницы, пансионата, частного дома, ресторана, сауны, бани или любого другого объекта со средним круглогодичным потреблением горячей воды.
<p><b>Состав комплекта:</b></p>
<ul><li>4 вакуумных коллектора Атмосфера СВК-А 30 с комплектом креплений,
<li>воздухоотводчик Caleffi,
<li>одноконтурная солнечная станция BRV S1 Solar 1 3/4"" с регулятором и насосом Wilo Star 25/7,
<li>одноконтурный бак-накопитель Атмосфера TRM на 800 литров,
<li>расширительный бак Zilmet 80 л,
<li>противоожоговый термостатический смеситель BRV,
<li>теплоноситель Тепро 30-П Солар,
<li>контроллер управления солнечной системой СК868C9.</li></ul>
<p>Монтажная площадь коллекторного поля при установке на наклонную кровлю - 20 м².
<p><i>Ориентировочная стоимость дополнительных материалов для монтажа гелиосистемы (трубопровод, краны, муфты, клапаны, изоляция и т.п.) состаявляет 10-20% от стоимости оборудования.</i></p>";"http://prom.ua/Solnechnye-nagrevateli-vody";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"800";"80";"";"";"";"";"";"";"";"";"";"";"Вакуумный";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Тепро-30П (Solar)";"Тепро-30П (Solar)";"+";"2,00";"EUR";"Жидкость, солнце, солнечные системы";"кг";"Жидкость для солнечных систем Тепро-30П Solar (теплоноситель пропиленгликоль)";"Строн";"http://atmosfera.ua/images/forshops/tepro-30p.jpg";"Украина";"r";"Теплоноситель Тепро П Solar на основе пропиленгликоля специально разработаны для использования в гелиосистемах. В данном продукте были использованы специальные добавки увеличивающие срок службы теплоносителя при высоких температрурах. ТЕПРО Solar является полностью безопасным и экологически чистым продуктом т.к. пропиленгликоль является пищевой добавкой (Е1520) и не токсичен. Тепро П Solar может использоваться в любой среде, вплоть до пищевой промышленности. При аварийном разливе такого теплоносителя его достаточно собрать в емкость и очистить от крупных частичек мусора. Коррозионная активность пропиленгликоля ниже, чем у большинства известных водных растворов солей и спиртов, что позволяет предъявлять невысокие требования к сортности стали для оборудования и снизить стоимость используемого оборудования. Температура замерзания: -30 °C. Гарантийный срок хранения – 5 лет.";"http://prom.ua/Bytovoj-antifriz-dlya-otopitelnyh-sistem";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PV АВ275-60P(CN32)";"PV АВ275-60P(CN32)";"-";"159,50";"USD";"PV-модули, фотомодули, фотогальванические модули, фотоэлектрические модули, солнечные модули, солнечные панели, преобразования солнечной энергии, электроснабжение, солнечные электростанции";"шт";"Солнечный фотоэлектрический модуль ABi-Solar АВ275-60P, 275 Wp,Poly";"ABi-Solar";"http://atmosfera.ua/images/forshops/abisolar-poly.png";"Китай";"r";"Изготовление и сборка фотомодулей осуществляется только на восточноазиатских предприятиях из списка Bloomberg Tier 1. Каждый фотомодуль ABi-Solar проходит обязательноетестирование на соответствие заявленным характеристикам. Полное соответствие мировым технологическим стандартам:IEC61215, IEC61730, CE, ROHS, TÜV. Гарантированная совместимость с сетевыми и автономными фотоэлектрическими системами
Преимущества: 
- Положительный     допуск     выработки     (0~+3%)  гарантирует заявленную производительность
- Стойкость  фотомодуля  к  ветровым  (2400  Па)  и снежным    (5400    Па)    нагрузкам    подтверждена сертификатом TÜV
- Гарантия  на  брак  и  материалы  (10  лет),  а  также  на сохранение выработки (до 25 лет)
- Конструкция  распределительной  коробки  и  by-pass-диоды  защищают  модуль  от  перегрева  и  эффекта “hot-spot“";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"18,5";"";"";"";"";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"275";"";"";"15";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JAP6-60 270 Wp,Poly";"JAP6-60 270 Wp,Poly";"-";"164,70";"USD";"PV-модули, фотомодули, фотогальванические модули, фотоэлектрические модули, солнечные модули, солнечные панели, преобразования солнечной энергии, электроснабжение, солнечные электростанции";"шт";"Фотоэлектрический  модуль  JA Solar JAP6-60 270 Wp,Poly";"JA Solar";"http://atmosfera.ua/images/forshops/abisolar-poly.png";"Китай";"r";"<p>Поликристаллический фотомодуль JA Solar  мощностью 270Вт по технологии 4ВВ,
<p>Фотомодули JA Solar являются отличным продуктом для использования в автономных и сетевых фотоэлектрических системах.
<p>Поликристаллические фотомодули JA Solar имеют одни из лучших показателей эффективности в отрасли — 16,51%. Допуск по мощности положительный, от + 0 до 5Вт (Ватт, мощности), что зафиксировано тестами каждой фотопанели.
<p>Гарантия - 12 лет.</p>
<p><b>Характеристики:</b></p>
<ul>
<li>Номинальная мощность: 270Wp (0~+5％)
<li>Ток короткого замыкания Isc: 9,15A
<li>Напряжение холостого хода Voc: 38,27V
<li>Ток максимальной мощности Imp: 8,65A
<li>Напряжение максимальной мощности Vmp: 31,23V
<li>Максимальное напряжение системы: DC1000V
<li>Количество фотоэлементов: 60 (156×156mm)
<li>Предохранитель, не более: 15A
<li>Размеры: 1650×991×35mm
<li>Вес: 18 кг</li>
</ul>";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"18";"";"";"";"";"144";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PV АВ270-60P";"PV АВ270-60P";"+";"167,40";"USD";"PV-модули, фотомодули, фотогальванические модули, фотоэлектрические модули, солнечные модули, солнечные панели, преобразования солнечной энергии, электроснабжение, солнечные электростанции";"шт";"Солнечный фотоэлектрический модуль ABi-Solar АВ270-60P, 270 Wp,Poly ";"ABi-Solar";"http://atmosfera.ua/images/forshops/abisolar-poly.png";"Китай";"r";"Изготовление и сборка фотомодулей осуществляется только на восточноазиатских предприятиях из списка Bloomberg Tier 1. Каждый фотомодуль ABi-Solar проходит обязательноетестирование на соответствие заявленным характеристикам. Полное соответствие мировым технологическим стандартам:IEC61215, IEC61730, CE, ROHS, TÜV. Гарантированная совместимость с сетевыми и автономными фотоэлектрическими системами
Преимущества: 
- Положительный     допуск     выработки     (0~+3%)  гарантирует заявленную производительность
- Стойкость  фотомодуля  к  ветровым  (2400  Па)  и снежным    (5400    Па)    нагрузкам    подтверждена сертификатом TÜV
- Гарантия  на  брак  и  материалы  (10  лет),  а  также  на сохранение выработки (до 25 лет)
- Конструкция  распределительной  коробки  и  by-pass-диоды  защищают  модуль  от  перегрева  и  эффекта “hot-spot“";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"18,5";"";"";"";"";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"270";"";"";"15";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Тепро-20П";"Тепро-20П";"-";"1,60";"EUR";"Жидкость, солнце, солнечные системы";"кг";"Жидкость для тепловых насосов Тепро-20П (теплоноситель пропиленгликоль)";"Строн";"http://atmosfera.ua/images/forshops/tepro-30p.jpg";"Украина";"r";"Теплоноситель Тепро-20П на основе пропиленгликоля специально разработан для использования в тепловых насосах. В данном продукте были использованы специальные добавки увеличивающие срок службы теплоносителя при высоких температрурах. ТЕПРО-20П является полностью безопасным и экологически чистым продуктом т.к. пропиленгликоль является пищевой добавкой (Е1520) и не токсичен. Данные теплоносители производятся с добавлением антикоррозионных, противопенных и других специализированных присадок которые значительно увеличивают срок службы жидкости, а так же улучают ее физико-химические свойства. Коррозионная активность пропиленгликоля ниже, чем у большинства известных водных растворов солей и спиртов, что позволяет предъявлять невысокие требования к сортности стали для оборудования и снизить стоимость используемого оборудования. Температура замерзания: -20 °C. Гарантийный срок хранения – 5 лет.";"http://prom.ua/Bytovoj-antifriz-dlya-otopitelnyh-sistem";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"031200-24-40-TD";"031200-24-40-TD";"+";"2073,00";"EUR";"";"шт";"Насосный высокоэффективный модуль для нагрева бака-накопителя BRV Solo 1 Basic, WiloStar RSG25/8";"BRV";"http://atmosfera.ua/images/forshops/BRV_ModvlvS_Solo_1_Basic-High_Efficiency.png, http://atmosfera.ua/images/forshops/BRV_ModvlvS_Solo_1_Basic-High_Efficiency_covered.png";"Италия";"r";"Насосный высокоэффективный модуль для нагрева бака-накопителя с насосом WiloStar RSG25/8. Компактный, полностью собранный насосный модуль для передачи тепла, выработанного солнечной установкой с высоко и низкопроизводительным режимами работы. Предназначен для установки в системах с одним накопительным баком. Поставляется в теплоизоляции, с подключенными электросоединениями, предпрограммированным контроллером, с возможностью простого и быстрого монтажа.";"http://prom.ua/Nasosnye-gruppy";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10%";"";"";"";
"E-PVT 2 OS";"E-PVT 2 OS";"-";"812,00";"EUR";"Гибридный, солнечный, коллектор, солнечные гибридные батареи, комбинированные солнечные модули, тепловые коллекторы, энергия солнца в доме, гибридный способ генерации энергии";"шт";"Гибридный солнечный коллектор ATMOSFERA F2PV";"Atmosfera";"http://www.atmosfera.ua/images/forshops/ATMOSFERA-F2PV-1.jpg, http://www.atmosfera.ua/images/forshops/ATMOSFERA-F2PV-2.jpg, http://www.atmosfera.ua/images/forshops/ATMOSFERA-F2PV-3.jpg";"Польша";"r";"<p>Гибридный солнечный коллектор ATMOSFERA F2PV это сочетание солнечного теплового коллектора и поликристаллического фотоэлектрического модуля мощностью 300 Вт.
<p>Коллектор-фотомодуль ATMOSFERA F2PV способен преобразовывать энергию солнечного излучения, как в электрическую, для питания электрических приборов, так и тепловую, для нужд горячего водоснабжения (ГВС) и поддержки отопления.</p>";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"37";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"С&T P3024";"С&T P3024";"+";"41,00";"USD";"сnt, сиэнти солар";"шт";"Контроллер заряда C&T Solar Pulsar 3024 с USB-зарядкой";"C&T Solar";"http://atmosfera.ua/images/4sh/Pulsar1.jpg, http://atmosfera.ua/images/4sh/Pulsar2.jpg, http://atmosfera.ua/images/4sh/Pulsar3.jpg, http://atmosfera.ua/images/4sh/Pulsar4.jpg, http://atmosfera.ua/images/4sh/Pulsar5.jpg";"Китай";"r";"<p>Программируемый ШИМ-контроллер заряда с ЖК-дисплеем для автономных солнечных электростанций. В контроллерах Pulsar 3024 от C&T Solar реализованы мониторинг и настройка всех рабочих параметров системы.
<p>Встроенный таймер управляет отключением нагрузки. Широтно-импульсная модуляция процесса заряда увеличивает срок службы свинцово-кислотных или литиевых АКБ.
<p>Особенностью контроллера Pulsar 3024 является наличие USB-порта, через который можно заряжать мобильные устройства, такие как телефоны, планшеты и любую другую технику, зарядка которой возможна через USB-кабель.
<p>Встроенные системы защиты предотвращают повреждение фотомодулей от короткого замыкания, несоблюдения полярности, а также обеспечат защиту на стороне потребителей и аккумуляторов.</p>
<ul><li>
<li>Напряжение системы - 12/24В.
<li>Поддерживаемые аккумуляторные батареи - свинцово-кислотные, литиевые.
<li>Ток заряда - 30А.
<li>Размеры - 164×103×47мм
<li>Вес - 390г.</li></ul>";"http://prom.ua/Solnechnye-kontrollery";"0,39";"";"";"";"";"12";"";"";"";"да";"";"";"да";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STP 15000TL-30";"STP 15000TL-30";"-";"3875,00";"EUR";"";"шт";"Инвертор сетевой SMA Sunny Tripower 15000 TL-30 (15кВА, 3 фазы / 2 трекера) с дисплеем";"SMA";"";"Германия";"r";"Ведущий немецкий производитель инверторов для солнечной энергетики. Эти инверторы имеют лучшие
показатели эффективности, наименьший вес и размеры. Покупая инвертор SMA вы получаете устройство, в
котором используются новейшие разработки для преобразования поступающей из фото-модулей энергии.";"http://prom.ua/Invertory";"";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98,4/98,0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"BT15";"BT15";"+";"5,73";"USD";"";"шт";"Тройник Gofraflex BT15 ""труба-труба-труба""";"GofraFlex";"";"Южная Корея";"r";"<p>Тройник Gofraflex BT15 ""труба-труба-труба""</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Trojnik";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PV СT 60275-M";"PV СT 60275-M";"+";"170,50";"USD";"сnt, сиэнти солар";"шт";"Монокристаллический фотомoдуль C&T Solar СT60275-M, 275 Wp";"C&T Solar";"https://atmosfera.ua/images/4sh/mono%D0%A1%D0%A2.jpg";"Китай";"r";"Монокристаллический фотомoдуль C&T Solar СT60275-M мощностью 275Вт выполнен в виде панели, заключенной в каркас из алюминиевого профиля. Панель представляет собой фотоэлектрический генератор, преобразующий световой поток в электрическую энергию, состоит из закаленной, просветленной, с антибликовым поверхности стеклянной плиты с герметично ламинированными на ней элементами. С задней стороны находится клеммная коробка, предназначенная для подключения панели.
Технический паспорт: https://goo.gl/sV1VR3";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"19";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,16";"16,92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"275";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PV СT 60260-P";"PV СT 60260-P";"+";"148,20";"USD";"сnt, сиэнти солар";"шт";"Поликристаллический фотомoдуль C&T Solar СT60260-P, 260 Wp";"C&T Solar";"https://atmosfera.ua/images/4sh/CTpoli.jpg";"Китай";"r";"Поликристаллический фотомoдуль C&T Solar СT60260-P мощностью 260Вт выполнен в виде панели, заключенной в каркас из алюминиевого профиля. Панель представляет собой фотоэлектрический генератор, преобразующий световой поток в электрическую энергию, состоит из закаленной, просветленной, с антибликовым поверхности стеклянной плиты с герметично ламинированные на ней элементами. С задней стороны находится клеммная коробка, предназначенная для подключения панели.
Технический паспорт: https://goo.gl/ZWGzST";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"19";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,16";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"260";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PV СT 60265-P";"PV СT 60265-P";"+";"153,70";"USD";"сnt, сиэнти солар";"шт";"Поликристаллический фотомoдуль C&T Solar СT60265-P, 265 Wp";"C&T Solar";"https://atmosfera.ua/images/4sh/CTpoli.jpg";"Китай";"r";"Поликристаллический фотомoдуль C&T Solar СT60265-P мощностью 265Вт  выполнен в виде панели, заключенной в каркас из алюминиевого профиля. Панель представляет собой фотоэлектрический генератор, преобразующий световой поток в электрическую энергию, состоит из закаленной, просветленной, с антибликовым поверхности стеклянной плиты с герметично ламинированные на ней элементами. С задней стороны находится клеммная коробка, предназначенная для подключения панели.
Технический паспорт: https://goo.gl/o95V3D";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"19";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,16";"16,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"265";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PIKO 3.0";"PIKO 3.0";"-";"1326,00";"EUR";"";"шт";"Инвертор сетевой Kostal PIKO  3.0 (3 кВт, 3 фазы / 1 трекер)";"Kostal";"http://atmosfera.ua/images/4sh/piko.jpg";"Германия";"r";"Инвертор сетевой Kostal PIKO  3.0 (3 кВт, 3 фазы / 1 трекер)  немецкого производителя сетевых солнечных инверторов, который имеет более 100 лет опыта работы на рынке электроники. Этот  инвертор имеет один встроенный МРР трекер и встроенный электронный автоматический выключатель переменного тока. Наличие встроенного мониторинга (Ethernet), возможности интеграции в систему “умный дом” (KNX, EEBus), счетчика S0, поддержка протокола RS485 и других опций в базовой комплектации делают продукцию Kostal лучшим сочетанием цены за количество опций в инверторе.";"http://prom.ua/Invertory";"";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"96,2/95,5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"PMP483021010";"PMP483021010";"-";"1695,60";"EUR";"";"шт";"Инвертор MultiPlus 48/3000/35-50 (3 кВА/2.4 кВт, 1 фаза / Без контролеров заряда)";"Victron Energy";"https://www.atmosfera.ua/wp-content/uploads/2013/08/MultiPlus.png";"Нидерланды";"r";"Многофункциональные инверторы MultiPlus от Victron Energy способны заряжать аккумуляторный парк напряжением 48 вольт от внешних источников, таких как генераторы и солнечные электростанции, преобразовывать постоянный ток от батарей в переменный с чистой синусоидой, а также, в режиме перегрузки пропускать через себя переменный ток сети общего пользования мощностью до 10кВт.";"http://prom.ua/Invertory";"18";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,95";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"230";"2400";"38-66";"230";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";"";"";"";"Чистая синусоида";"";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";
"11,200SE";"11,200SE";"+";"455,00";"EUR";"Бак, накопительный, бойлер, гелиобойлер, водонагреватели, накопительные резервуары, емкости для воды, водоснабжение";"шт";"Бак-накопитель косвенного нагрева АТМОСФЕРА 11,200SE одноконтурный на 200 литров";"Atmosfera";"http://atmosfera.ua/images/forshops/SE1coil.jpg";"Польша";"r";"<p>Бак-накопитель с одним теплообменником объемом 200 литров. Производство Польша.
<p>Высокая мощность нагрева благодаря применению спирального теплообменника (змеевика) с большой греющей площадью. Класс энергоэффективности B.
<p>Большой срок службы благодаря применению анода и керамической эмали, запекаемой при температуре 850 С°
<p>Изоляция из полиуретановой пены. Мягкая наружная обшивка выполнена из материала типа skay. Цвет: оранжевый.</p>";"http://prom.ua/Teplovye-akkumulyatory";"79";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"90";"";"6";"6";"6";"";"";"Эмалированная сталь";"Пенополиуретан";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11,300SE";"11,300SE";"+";"573,00";"EUR";"Бак, накопительный, бойлер, гелиобойлер, водонагреватели, накопительные резервуары, емкости для воды, водоснабжение";"шт";"Бак-накопитель косвенного нагрева АТМОСФЕРА 11,300SE одноконтурный на 300 литров";"Atmosfera";"http://atmosfera.ua/images/forshops/SE1coil.jpg";"Польша";"r";"<p>Бак-накопитель с одним теплообменником объемом 300 литров. Производство Польша.
<p>Высокая мощность нагрева благодаря применению спирального теплообменника (змеевика) с большой греющей площадью. Класс энергоэффективности B.
<p>Большой срок службы благодаря применению анода и керамической эмали, запекаемой при температуре 850 С°
<p>Изоляция из полиуретановой пены. Мягкая наружная обшивка выполнена из материала типа skay. Цвет: оранжевый.</p>";"http://prom.ua/Teplovye-akkumulyatory";"113";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"90";"";"6";"6";"6";"";"";"Эмалированная сталь";"Пенополиуретан";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25А";"25А";"+";"5,35";"USD";"";"пог.м";"Труба GofraFlex гофрированная нержавеющая под фитинги 25А";"GofraFlex";"http://atmosfera.ua/images/forshops/gofraflex.jpg";"Южная Корея";"r";"<p>Труба GofraFlex гофрированная нержавеющая под фитинги 25А. Предназначена для использования в системах газо и водоснабжения, отопления, теплый пол, прокладка кабельных магистралей, гелиосистемы, подача ГСМ материалов, а так же системах автоматического пожаротушения. Труба полностью компенсирует линейные расширения и сжатия, устойчива к гидроударам (рабочее давление 16Атм, а кратковременно он может выдержать 60Атм), не боится разморозки, грызунов, плесени и грибков, не подвержен коррозии. Гибкий гофрированный трубопровод GofraFlex прост и удобен в монтаже.  Скорость монтажа уменьшается в 5 раз! Все изгибы трубы делаются руками, а соединения гаечным ключом соответствующего размера. Трубопровод GofraFlex имеет международный сертификат качества ISO 9001, а так же сертифицирован УКРСЕПРО и прошел тестирование в Европейском институте CNBOP-PIB.</p>
<p><iframe frameborder=""0"" height=""340"" src=""http://www.youtube.com/embed/3XYw__FaI-Y?rel=0&amp;wmode=transparent"" width=""560""></iframe></p>";"http://prom.ua/Drugie-truby";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SY-BA21-A/B";"SY-BA21-A/B";"+";"12,50";"USD";"";"шт";"MC-4 тройник EGE KABLO PV-ZH203";"EGE KABLO";"";"Китай";"r";"Тройник MC-4 EGE KABLO PV-ZH203.";"http://prom.ua/Fotoelementy-i-solnechnye-paneli";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
